Location,Day,Temperature,WeatherCondition
Location_1,1,9.73988047455298,Sunny
Location_1,2,15.935689368120396,Raining
Location_1,3,-4.787521104506206,Sunny
Location_1,4,-7.059642941388391,Snowing
Location_1,5,16.45818129834264,Windy
Location_1,6,-8.769846752539076,Snowing
Location_1,7,11.832643041690353,Thunderstorm
Location_1,8,-9.89396325486361,Snowing
Location_1,9,-6.43201801957999,Windy
Location_1,10,25.667550084271873,Windy
Location_1,11,-4.324945832007173,Thunderstorm
Location_1,12,-9.070829309901299,Thunderstorm
Location_1,13,15.170363174633042,Thunderstorm
Location_1,14,3.662588001830672,Sunny
Location_1,15,39.279706816511734,Raining
Location_1,16,38.70177416933686,Snowing
Location_1,17,29.64869194786337,Thunderstorm
Location_1,18,0.07927857083975631,Snowing
Location_1,19,-0.22399046528435385,Snowing
Location_1,20,20.114630825184204,Windy
Location_1,21,-3.661470398457741,Raining
Location_1,22,-2.437063436094963,Sunny
Location_1,23,-7.425666801352795,Snowing
Location_1,24,-7.695494520215331,Windy
Location_1,25,11.288493671747666,Cloudy
Location_1,26,18.490975163919284,Raining
Location_1,27,38.47395302958619,Sunny
Location_1,28,14.521284089930827,Foggy
Location_1,29,0.873090001100211,Thunderstorm
Location_1,30,27.64883381595576,Raining
Location_1,31,11.324333515989181,Foggy
Location_1,32,-5.7679822069631985,Raining
Location_1,33,38.73167688500211,Thunderstorm
Location_1,34,27.046156003100336,Snowing
Location_1,35,20.211631103013964,Sunny
Location_1,36,11.89663548145641,Windy
Location_1,37,38.8254867758632,Raining
Location_1,38,29.14779529170915,Cloudy
Location_1,39,20.51819872179508,Windy
Location_1,40,38.750984903350854,Foggy
Location_1,41,25.550294695908583,Snowing
Location_1,42,4.946609021180684,Thunderstorm
Location_1,43,34.84713618713819,Windy
Location_1,44,29.22896793591505,Sunny
Location_1,45,7.872412383988145,Raining
Location_1,46,2.83486502862487,Foggy
Location_1,47,7.31474976773449,Raining
Location_1,48,2.344214360771483,Cloudy
Location_1,49,24.60104067006734,Cloudy
Location_1,50,-4.726328269769667,Thunderstorm
Location_1,51,22.7073389151371,Snowing
Location_1,52,13.784390642600663,Thunderstorm
Location_1,53,18.80793382154025,Windy
Location_1,54,-4.861487385326021,Snowing
Location_1,55,-3.962809623484988,Cloudy
Location_1,56,20.627898960670898,Raining
Location_1,57,19.848987181182064,Snowing
Location_1,58,9.965396348326237,Snowing
Location_1,59,-6.3596916215131385,Raining
Location_1,60,2.633921174917811,Raining
Location_1,61,32.872644669703575,Windy
Location_1,62,-6.674157913478831,Foggy
Location_1,63,27.268464337901527,Foggy
Location_1,64,5.021598522462149,Foggy
Location_1,65,-3.4232634394018717,Cloudy
Location_1,66,-6.909681151037786,Raining
Location_1,67,-0.4644271718239086,Raining
Location_1,68,19.372733321187923,Thunderstorm
Location_1,69,32.82344468793683,Windy
Location_1,70,32.8226488051052,Thunderstorm
Location_1,71,13.896771646820941,Sunny
Location_1,72,33.31286202192863,Windy
Location_1,73,-0.05117632311644904,Cloudy
Location_1,74,11.14237818196819,Cloudy
Location_1,75,38.19586214459731,Snowing
Location_1,76,-3.331568691547301,Cloudy
Location_1,77,0.1067009493494897,Sunny
Location_1,78,21.79109079777004,Windy
Location_1,79,26.292589299111413,Sunny
Location_1,80,15.900597283361964,Windy
Location_1,81,-5.217941639795528,Thunderstorm
Location_1,82,22.918470903601474,Raining
Location_1,83,0.6210373811921048,Snowing
Location_1,84,23.871018720915345,Windy
Location_1,85,38.61894668086543,Thunderstorm
Location_1,86,25.22201931601051,Windy
Location_1,87,14.101371651397912,Snowing
Location_1,88,14.597392456801327,Foggy
Location_1,89,12.941901276937209,Thunderstorm
Location_1,90,19.521382037928447,Snowing
Location_1,91,22.769163950148965,Cloudy
Location_1,92,5.520960666664941,Cloudy
Location_1,93,39.04833311207253,Snowing
Location_1,94,36.10494258931171,Thunderstorm
Location_1,95,15.897015889813169,Foggy
Location_1,96,36.072862830082784,Cloudy
Location_1,97,24.93290806938603,Raining
Location_1,98,21.553490001496087,Cloudy
Location_1,99,29.683603024004974,Snowing
Location_1,100,24.524030007580144,Foggy
Location_1,101,2.587360864192215,Thunderstorm
Location_1,102,20.153831547744055,Thunderstorm
Location_1,103,19.367461352794187,Thunderstorm
Location_1,104,30.7505492557925,Windy
Location_1,105,7.958228615396717,Windy
Location_1,106,27.456615685187053,Cloudy
Location_1,107,-8.519127670655482,Sunny
Location_1,108,26.77641511586212,Windy
Location_1,109,15.968914560437717,Snowing
Location_1,110,11.350094658271125,Snowing
Location_1,111,38.86878054769222,Foggy
Location_1,112,38.26812213365768,Foggy
Location_1,113,20.405109905471615,Cloudy
Location_1,114,19.750418481800477,Foggy
Location_1,115,13.54109481763756,Sunny
Location_1,116,16.50387968486458,Cloudy
Location_1,117,4.534352306763909,Thunderstorm
Location_1,118,35.40864132637382,Raining
Location_1,119,26.093677377945745,Foggy
Location_1,120,32.730615741786885,Snowing
Location_1,121,-5.7382807731744006,Snowing
Location_1,122,37.16842150758675,Foggy
Location_1,123,3.9185218867859284,Windy
Location_1,124,34.9218627970397,Raining
Location_1,125,-2.5732199503876476,Sunny
Location_1,126,19.117000008038303,Sunny
Location_1,127,-8.133141046348587,Thunderstorm
Location_1,128,-2.5125277852996692,Foggy
Location_1,129,38.779799731307065,Raining
Location_1,130,17.04935880330191,Sunny
Location_1,131,19.371318303786083,Raining
Location_1,132,3.042001597092556,Cloudy
Location_1,133,2.8912683829780725,Snowing
Location_1,134,34.073841455806125,Cloudy
Location_1,135,-2.407118137658295,Raining
Location_1,136,4.0186343586741256,Snowing
Location_1,137,-6.535490560529119,Snowing
Location_1,138,14.39467764355398,Sunny
Location_1,139,-6.085928223820533,Snowing
Location_1,140,18.409263840705684,Windy
Location_1,141,20.5921930707063,Windy
Location_1,142,11.410140977168417,Cloudy
